"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.40348670806","11.1348903334144","11.0902361515037","11.3453854167499","13.3442213743097","10.385175626901","10.2090658235031","9.9896371573724","9.71836376302275","9.44994278984428","9.18631575982742","8.95510218818343","8.72311170552497","8.49580474061575","8.27491440290955","8.02602133952526","7.78899058129204","7.53153765061806","7.31981245408578","7.04846688497724","6.8479010285928","6.62645993309706","6.39604507523034","6.21181714427876","6.0558579952324","5.9067870178089","5.77387452204828","5.65090233123977","5.54876434286072","5.44813637968127","5.36363071244046","5.26668598041391",
"Afghanistan","AFG","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","7.3","6.7","6.2","5.7","5.3","4.9","4.6","5.9","4.2","4.1","4","3.9","3.8","3.8","3.9","4","4.2","4.2","4.2","4.1","3.9","3.6","3.2","2.9","2.5","2.3","2.1","2","1.9","1.8","1.7",
"Africa Western and Central","AFW","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0069037042957","11.7586779975734","11.5532526734947","11.3644213938128","11.1662108587763","11.0411317486874","10.8498991162365","10.6800610706802","10.5318798422046","10.3374070113235","10.1956850440139","10.0406620687188","9.84077779307323","9.70245047290545","9.53924232174722","9.42064075310743","9.2686255008561","9.11745117615622","8.97635000068268","8.88132254557164","8.72463688398518","8.57506730168527","8.47189538697088","8.3227108070401","8.22252755114485","8.07309542073044","7.93674751417824","7.77894307223671","7.66476946491083","7.51498044249421","7.37248945125984","7.19873406684987",
"Angola","AGO","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4","15.7","18.5","15.7","15.7","15.7","15.6","15.4","15.2","15","14.7","14.4","14","13.5","13.1","12.5","12","11.4","10.8","10.2","9.7","9.2","8.7","8.3","7.9","7.6","7.3","7.1","6.9","6.7","6.5","6.3",
"Albania","ALB","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","2.4","2.3","2.2","2.1","2","1.9","2.2","1.8","1.8","1.8","1.7","1.7","1.7","1.6","1.6","1.5","1.5","1.5","1.4","1.4","1.4","1.3","1.3","1.2","1.2","1.2","1.1","1.1","1.1","1","1",
"Andorra","AND","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.3","1.3","1.2","1.2","1.1","1.1","1","1","0.9","0.9","0.9","0.8","0.8","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4",
"Arab World","ARB","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.91450458596647","4.67591503369338","4.45901301826632","4.2789099335939","4.14445011916056","3.98657958716929","3.86395503321255","3.7375303999402","3.6021248760215","3.49434381737377","3.36489247551553","3.2550160822728","3.15350426198663","3.08296369707439","2.9737199157201","2.94707535706202","2.91537817456098","2.87324254252523","2.92392933732101","2.83682460043308","2.86425162943103","2.85286451386621","2.90108317607462","2.92417705657561","2.88083050673969","2.80481252915229","2.71840228727662","2.489160212069","2.47546719721917","2.41616267564176","2.30895589406303","2.29582391979772",
"United Arab Emirates","ARE","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","1.8","1.7","1.6","1.5","1.5","1.4","1.4","1.3","1.3","1.3","1.2","1.2","1.2","1.2","1.1","1.1","1.1","1.1","1","1","1","0.9","0.9","0.9","0.9","0.9","0.8","0.8","0.8","0.8","0.7",
"Argentina","ARG","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","1.8","1.7","1.7","1.7","1.6","1.6","1.6","1.5","1.5","1.5","1.5","1.5","1.4","1.5","1.5","1.5","1.5","1.5","1.5","1.4","1.4","1.3","1.3","1.2","1.2","1.2","1.2","1.1","1","0.9","0.8",
"Armenia","ARM","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","1.4","1.3","1.2","1.1","1.1","1","1","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"American Samoa","ASM","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","1.5","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.5","1.5","1.4","1.4","1.4","1.3","1.3","1.2","1.2","1.2","1.1","1.1","1.1","1","1","1","1","0.9","0.9",
"Australia","AUS","Probability of dying among adolescents ages 10-14 years (per 1,000)","SH.DYN.1014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0.9","0.9","0.9","0.8","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4",
